Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKsv,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Playing Time_Mn/MP,Playing Time_Min%,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Andrew Omobamidele,ie IRL,DF,22.0,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Anthony Elanga,se SWE,"FW,MF",22.0,38,31,2501.0,27.8,6.0,11.0,17.0,6.0,0.0,1.0,0.0,4.5,4.5,5.7,10.1,102.0,63.0,229.0,0.22,0.4,0.61,0.22,0.61,0.16,0.2,0.36,0.16,0.36,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,se SWE,"FW,MF",22.0,44.0,24.0,54.5,1.58,0.86,0.14,0.25,17.6,6.0,0.1,1.5,1.5,Matches,Nottingham Forest,540.0,827.0,65.3,8021.0,2660.0,318.0,387.0,82.2,150.0,232.0,64.7,46.0,131.0,35.1,5.1,5.3,50.0,32.0,26.0,8.0,697.0,126.0,31.0,3.0,0.0,185.0,6.0,86.0,43.0,39.0,0.0,4.0,24.0,102.0,3.67,56.0,23.0,5.0,7.0,11.0,0.0,18.0,0.65,10.0,4.0,1.0,0.0,3.0,0.0,19.0,14.0,8.0,8.0,3.0,5.0,17.0,29.4,12.0,11.0,1.0,10.0,6.0,25.0,25.0,0.0,1115.0,29.0,136.0,319.0,679.0,110.0,1115.0,83.0,25.0,30.1,39.0,47.0,600.0,4509.0,2544.0,45.0,48.0,79.0,43.0,764.0,66.0,73.1,76.0,12,7,22.0,0,1.71,45.0,35.0,10.0,0.36,0.16,33.9,37.6,-3.6,-0.13,-0.15,9.0,47.0,18.0,0.0,0.0,89.0,24.0,37.0,39.3
Callum Hudson-Odoi,eng ENG,"FW,MF",23.0,31,25,2194.0,24.4,5.0,2.0,7.0,5.0,0.0,2.0,0.0,2.5,2.5,2.7,5.2,130.0,71.0,189.0,0.21,0.08,0.29,0.21,0.29,0.1,0.11,0.21,0.1,0.21,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",23.0,37.0,17.0,45.9,1.52,0.7,0.14,0.29,18.3,0.0,0.07,2.5,2.5,Matches,Nottingham Forest,691.0,843.0,82.0,10242.0,2075.0,401.0,437.0,91.8,218.0,266.0,82.0,44.0,87.0,50.6,2.6,-0.7,44.0,38.0,33.0,11.0,817.0,23.0,3.0,5.0,6.0,79.0,6.0,5.0,4.0,1.0,0.0,3.0,16.0,94.0,3.86,74.0,3.0,10.0,3.0,4.0,0.0,11.0,0.45,7.0,0.0,2.0,0.0,2.0,0.0,22.0,14.0,8.0,8.0,6.0,12.0,18.0,66.7,6.0,11.0,0.0,11.0,13.0,35.0,12.0,1.0,1035.0,16.0,117.0,338.0,605.0,74.0,1035.0,63.0,37.0,58.7,18.0,28.6,641.0,5345.0,3401.0,61.0,47.0,45.0,23.0,784.0,71.0,64.2,81.0,8,6,28.0,1,1.74,38.0,23.0,15.0,0.62,0.84,28.7,26.9,1.8,0.07,0.45,12.0,25.0,8.0,1.0,0.0,92.0,3.0,10.0,23.1
Carlos Miguel,br BRA,GK,25.0,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,33,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Chris Wood,nz NZL,FW,32.0,36,35,2959.0,32.9,20.0,3.0,23.0,17.0,3.0,1.0,0.0,13.4,11.0,2.6,13.6,14.0,42.0,94.0,0.61,0.09,0.7,0.52,0.61,0.41,0.08,0.49,0.34,0.42,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,nz NZL,FW,32.0,65.0,32.0,49.2,1.98,0.97,0.26,0.53,13.5,0.0,0.17,6.6,6.0,Matches,Nottingham Forest,315.0,490.0,64.3,4434.0,1018.0,186.0,272.0,68.4,88.0,134.0,65.7,19.0,26.0,73.1,1.5,0.4,22.0,19.0,12.0,1.0,485.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,44.0,1.34,36.0,0.0,2.0,4.0,0.0,2.0,5.0,0.15,4.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.0,2.0,2.0,3.0,11.0,27.3,8.0,12.0,7.0,5.0,5.0,11.0,29.0,1.0,770.0,40.0,89.0,361.0,322.0,105.0,767.0,13.0,4.0,30.8,8.0,61.5,376.0,1279.0,506.0,11.0,5.0,75.0,28.0,563.0,82.0,86.5,84.0,14,1,28.0,0,1.72,52.0,37.0,15.0,0.46,1.04,39.0,39.5,-0.5,-0.01,0.56,25.0,24.0,28.0,0.0,0.0,50.0,94.0,143.0,39.7
Danilo,br BRA,"MF,FW",23.0,8,5,275.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,"MF,FW",23.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,N/a,0.0,0.0,Matches,Nottingham Forest,94.0,121.0,77.7,1541.0,549.0,44.0,52.0,84.6,39.0,46.0,84.8,7.0,12.0,58.3,0.0,0.0,0.0,13.0,0.0,0.0,119.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,7.0,2.31,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.66,2.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,1.0,0.0,3.0,6.0,50.0,3.0,2.0,1.0,1.0,4.0,12.0,3.0,0.0,150.0,8.0,54.0,85.0,13.0,0.0,150.0,6.0,3.0,50.0,3.0,50.0,54.0,237.0,61.0,0.0,0.0,6.0,0.0,87.0,34.0,8.0,47.0,0,3,13.0,6,2.13,8.0,4.0,4.0,1.31,1.08,3.2,4.8,-1.6,-0.54,-0.48,2.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,33.3
Elliot Anderson,eng ENG,MF,21.0,37,33,2728.0,30.3,2.0,6.0,8.0,2.0,0.0,10.0,0.0,2.1,2.1,3.3,5.4,52.0,143.0,95.0,0.07,0.2,0.26,0.07,0.26,0.07,0.11,0.18,0.07,0.18,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,21.0,40.0,7.0,17.5,1.32,0.23,0.05,0.29,18.8,0.0,0.05,-0.1,-0.1,Matches,Nottingham Forest,1085.0,1386.0,78.3,17458.0,5922.0,572.0,640.0,89.4,402.0,496.0,81.0,77.0,165.0,46.7,3.6,2.7,37.0,121.0,19.0,2.0,1292.0,85.0,26.0,7.0,4.0,86.0,2.0,48.0,17.0,28.0,0.0,9.0,35.0,87.0,2.87,43.0,20.0,7.0,8.0,4.0,5.0,10.0,0.33,4.0,3.0,0.0,1.0,1.0,1.0,92.0,56.0,54.0,29.0,9.0,48.0,111.0,43.2,63.0,48.0,9.0,39.0,31.0,123.0,76.0,4.0,1832.0,102.0,424.0,891.0,547.0,72.0,1832.0,75.0,36.0,48.0,30.0,40.0,932.0,5071.0,2366.0,32.0,21.0,60.0,49.0,1089.0,74.0,79.8,79.0,13,4,27.0,0,1.76,49.0,37.0,12.0,0.4,0.4,35.2,39.3,-4.1,-0.13,-0.22,49.0,58.0,4.0,0.0,0.0,207.0,56.0,30.0,65.1
Eric da Silva Moreira,de GER,"MF,DF",18.0,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,de GER,"MF,DF",18.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,N/a,0.0,0.0,Matches,Nottingham Forest,7.0,8.0,87.5,86.0,7.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,13.0,3.0,7.0,4.0,2.0,0.0,13.0,1.0,0.0,0.0,1.0,100.0,4.0,26.0,11.0,0.0,0.0,1.0,0.0,3.0,15.0,0.9,N/a,0,2,15.0,7,1.5,0.0,0.0,0.0,0.0,-0.32,0.1,0.3,-0.2,-0.53,-0.45,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,N/a
Harry Toffolo,eng ENG,DF,28.0,4,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,28.0,1.0,0.0,0.0,0.66,0.0,0.0,N/a,28.5,0.0,0.02,0.0,0.0,Matches,Nottingham Forest,47.0,67.0,70.1,653.0,304.0,30.0,32.0,93.8,15.0,24.0,62.5,1.0,7.0,14.3,0.0,0.0,0.0,1.0,0.0,0.0,39.0,28.0,0.0,0.0,0.0,4.0,27.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,75.0,1.0,2.0,2.0,0.0,2.0,7.0,12.0,0.0,88.0,9.0,32.0,22.0,34.0,2.0,88.0,0.0,0.0,N/a,0.0,N/a,17.0,57.0,23.0,0.0,0.0,0.0,0.0,30.0,34.0,4.0,90.0,1,3,16.0,20,2.5,2.0,2.0,0.0,0.0,-0.33,1.3,2.9,-1.6,-1.05,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Ibrahim Sangaré,ci CIV,MF,26.0,13,7,590.0,6.6,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,1.0,27.0,4.0,0.0,0.15,0.15,0.0,0.15,0.0,0.06,0.06,0.0,0.06,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ci CIV,MF,26.0,1.0,1.0,100.0,0.15,0.15,0.0,0.0,32.0,0.0,0.02,0.0,0.0,Matches,Nottingham Forest,276.0,323.0,85.4,4521.0,1475.0,129.0,144.0,89.6,117.0,127.0,92.1,20.0,31.0,64.5,0.2,0.6,4.0,28.0,4.0,1.0,312.0,11.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,1.22,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,8.0,17.0,3.0,8.0,17.0,47.1,9.0,10.0,4.0,6.0,6.0,34.0,13.0,1.0,407.0,26.0,110.0,247.0,52.0,7.0,407.0,1.0,0.0,0.0,1.0,100.0,171.0,759.0,283.0,2.0,0.0,5.0,4.0,236.0,45.0,17.3,72.0,1,6,14.0,5,1.46,11.0,6.0,5.0,0.76,0.54,9.5,8.2,1.3,0.2,0.36,15.0,8.0,0.0,0.0,0.0,42.0,10.0,10.0,50.0
James Ward-Prowse,eng ENG,MF,29.0,9,5,400.0,4.4,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.1,0.1,1.1,1.2,1.0,16.0,3.0,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,29.0,2.0,1.0,50.0,0.45,0.23,0.0,0.0,29.0,1.0,0.03,-0.1,-0.1,Matches,Nottingham Forest,145.0,182.0,79.7,2296.0,768.0,82.0,88.0,93.2,53.0,61.0,86.9,8.0,23.0,34.8,0.8,-0.1,4.0,16.0,2.0,0.0,157.0,24.0,15.0,0.0,1.0,19.0,0.0,8.0,3.0,5.0,0.0,1.0,1.0,10.0,2.25,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.45,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,100.0,0.0,3.0,2.0,1.0,5.0,9.0,8.0,0.0,205.0,13.0,49.0,115.0,45.0,1.0,205.0,0.0,0.0,N/a,0.0,N/a,92.0,407.0,170.0,3.0,0.0,3.0,3.0,115.0,44.0,11.7,75.0,2,4,6.0,9,1.56,4.0,7.0,-3.0,-0.68,-1.12,4.4,5.3,-0.9,-0.21,-0.13,7.0,2.0,0.0,0.0,0.0,19.0,3.0,5.0,37.5
Jota Silva,pt POR,"FW,MF",24.0,31,5,854.0,9.5,3.0,1.0,4.0,3.0,0.0,5.0,0.0,2.1,2.1,2.9,5.0,21.0,18.0,59.0,0.32,0.11,0.42,0.32,0.42,0.22,0.3,0.53,0.22,0.53,Matches,Nottingham Forest,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,"FW,MF",24.0,23.0,7.0,30.4,2.42,0.74,0.13,0.43,14.5,0.0,0.09,0.9,0.9,Matches,Nottingham Forest,118.0,196.0,60.2,1692.0,471.0,66.0,86.0,76.7,37.0,60.0,61.7,6.0,19.0,31.6,1.8,-1.9,14.0,4.0,9.0,3.0,191.0,3.0,0.0,1.0,1.0,21.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,29.0,3.06,22.0,0.0,1.0,3.0,3.0,0.0,3.0,0.32,2.0,0.0,0.0,0.0,1.0,0.0,27.0,14.0,12.0,13.0,2.0,6.0,27.0,22.2,21.0,9.0,1.0,8.0,12.0,39.0,17.0,0.0,357.0,19.0,83.0,104.0,181.0,46.0,357.0,34.0,10.0,29.4,15.0,44.1,175.0,1153.0,632.0,13.0,9.0,24.0,12.0,202.0,28.0,25.0,68.0,0,26,20.0,6,1.71,16.0,16.0,0.0,0.0,-0.42,14.9,12.6,2.4,0.25,0.45,24.0,23.0,8.0,1.0,0.0,43.0,21.0,30.0,41.2
